Number,Ticker,KoreanTicker
1,CQP,셰니어 에너지 파트너스
2,IMO,임페리얼 오일
3,GGO PR A,가벨리 고 애니웨어 트러스트 Pref SHS Series A
4,LNG,셰니어 에너지
5,CBOE,Cboe 글로벌 마켓
6,BTG,B2골드
7,PHYS,Sprott Physical Gold Trust
8,SEB,씨보드
9,CEF,스프롯 피지컬 골드 트러스트 & 실버 트러스트
10,PSLV,Sprott Physical Silver Trust
11,NG,노바골드 리소시스
12,EQX,이퀴녹스 골드
13,SIM,그루포 시멕 ADR
14,GSAT,글로벌스타
15,NXE,넥스젠 에너지
16,PRK,파크 내셔널
17,UTG,Reaves Utility Income Fund
18,MAG,MAG 실버
19,BTX,브루클린 이뮤노테라퓨틱스
20,EVV,이튼 밴스 리미티드 듀레이션 인컴 펀드
21,NGD,뉴 골드
22,TMP,톰킨스 파이낸셜
23,SILV,실버크레스트 메탈스
24,CCF,체이스
25,NHC,내셔널 헬스케어
26,FAX,애버딘 아시아-퍼시픽 인컴 펀드
27,SVM,실버코프 메탈스
28,EIM,Eaton Vance Municipal Bond Fund
29,CET,Central Securities Corp
30,CLM,코너스톤 스트래티직 밸류 펀드
31,NOG,노던 오일 & 가스
32,ORLA,Orla Mining Ltd
33,UUUU,에너지 퓨얼스
34,DNN,데니슨 마인스
35,SENS,센서닉스 홀딩스
36,MMX,매버릭스 메탈
37,CVM,셀 사이
38,MCF,콘탱고 오일 & 가스
39,ZOM,조메디카 파마슈티컬
40,UEC,우라늄 에너지
41,REPX,라일리 익스플로레이션 퍼미안
42,XXII,22세기 그룹
43,GGN,GAMCO 글로벌 골드 내추럴 리소스 & 인컴 트러스트
44,SMTS,시에라 메탈스
45,TGB,타세코 마인스
46,FSP,프랭클린 스트리트 프로퍼티스
47,VKI,Invesco Advantage Municipal Income Trust II
48,EAD,Wells Fargo Income Opportunities Fund
49,CRF,Cornerstone Total Return Fund Inc
50,STXS,스테레오택시스
51,LCTX,리니지 셀 테라퓨틱스
52,AEF,애버딘 이머징마켓 이쿼티 인컴 펀드
