Number,Ticker,KoreanTicker
1,AAPL,애플
2,MSFT,마이크로소프트
3,AMZN,아마존 닷컴
4,FB,페이스북
5,GOOGL,알파벳 Class A
6,GOOG,알파벳 Class C
7,TSLA,테슬라
8,NVDA,엔비디아
9,PYPL,페이팔 홀딩스
10,ASML,ASML 홀딩 NV ADR
11,CMCSA,컴캐스트
12,ADBE,어도비 시스템즈
13,INTC,인텔
14,CSCO,시스코 시스템즈
15,NFLX,넷플릭스
16,PEP,펩시코
17,AVGO,브로드컴
18,TMUS,T-모바일 US
19,TXN,텍사스 인스트루먼트
20,COST,코스트코 홀세일
21,PDD,핀듀오듀오 ADR
22,QCOM,퀄컴
23,CHTR,차터 커뮤니케이션
24,AMGN,암젠
25,AZN,아스트라제네카 ADR
26,SBUX,스타벅스
27,SNY,사노피 SA ADR
28,AMAT,어플라이드 머티어리얼즈
29,JD,JD닷컴 ADR
30,INTU,인튜이트
31,ISRG,인튜이티브 서지컬
32,MU,마이크론 테크놀로지
33,AMD,어드벤스 마이크로 디바이스
34,BKNG,부킹 홀딩스
35,ABNB,에어비앤비 Class A
36,LRCX,램 리서치
37,MDLZ,몬덜리즈 인터내셔널 Class A
38,ZM,줌 비디오 커뮤니케이션 Class A
39,GILD,길리어드 사이언스
40,ADP,오토매틱 데이터 프로세싱
41,FISV,파이서브
42,CSX,CSX Corp
43,NTES,넷이즈 ADR
44,CME,CME 그룹 Class A
45,ATVI,액티비전 블리자드
46,MELI,메르카도리브레
47,BIDU,바이두 ADR Class A
48,MRNA,모더나
49,EQIX,이퀴닉스
50,ADSK,오토데스크
51,ADI,애널로그 디바이시스
52,WDAY,워크데이 Class A
53,VOD,보다폰 그룹 ADR
54,VRTX,버텍스 파마슈티컬
55,ILMN,일루미나
56,TEAM,아틀라시안
57,REGN,리제네론 파마슈티컬스
58,NXPI,NXP 세미콘덕터
59,KHC,크래프트 하인즈
60,KDP,큐리그 닥터 페퍼
61,COIN,코인베이스 글로벌 Class A
62,MNST,몬스터 베버리지
63,KLAC,KLA Corp
64,WBA,월그린스 부츠 얼라이언스
65,MAR,메리어트 인터내셔널
66,ALGN,얼라인 테크놀로지
67,ROST,로스 스토어스
68,IDXX,아이덱스 래버러터리스
69,AEP,아메리칸 일렉트릭 파워 컴퍼니
70,EXC,엑셀론
71,TROW,T.로우 프라이스
72,ERIC,텔레폰악티에볼라예트 LM 에릭슨 ADR Class B
73,CRWD,크라우드 스트라이크 홀딩스 Class A
74,LULU,룰루레몬 애슬레티카
75,BIIB,바이오젠
76,EA,일렉트로닉 아츠
77,BNTX,바이오엔테크 SE ADR
78,EBAY,이베이
79,BILI,빌리빌리 ADR
80,CTSH,코그니전트 테크놀로지 솔루션
81,MCHP,마이크로칩 테크놀러지
82,ORLY,오레일리 오토모티브
83,XEL,엑셀 에너지
84,MTCH,매치 그룹
85,DOCU,도큐사인
86,ROKU,로쿠
87,ALXN,알렉시온 파마슈티컬스
88,CTAS,신타스
89,MRVL,마벨 테크놀로지 그룹
90,PAYX,페이첵스
91,SNPS,시놉시스
92,CDNS,케이던스 디자인 시스템
93,DXCM,덱스컴
94,TSCAP,트리스테이트 캐피털 홀딩스 DEP SHS 6.75%
95,WLTW,윌리스 타워스 왓슨 PLC
96,FTNT,포티넷
97,PCAR,파카
98,CSGP,코스타 그룹
99,SBAC,SBA 커뮤니케이션스 Class A
100,SIVB,SVB 파이낸셜 그룹
101,ODFL,올드 도미니언 프라이트 라인
102,FAST,패스널
103,XLNX,자일링스
104,FITB,피프스 서드 뱅코프
105,OKTA,옥타 Class A
106,TTD,트레이드 데스크 Class A
107,SWKS,스카이웍스 솔루션스
108,IBKR,인터랙티브 브로커스 그룹 Class A
109,ANSS,앤시스
110,CPRT,코파트
111,BGNE,베이진 ADR
112,VRSK,베리스크 애널리틱스
113,GRMN,가민
114,DLTR,달러 트리
115,RYAAY,라이언에어 홀딩스 ADR
116,NDAQ,나스닥
117,LBRDK,리버티 브로드밴드 Series C
118,MXIM,맥심 인티그레이티드 프로덕츠
