Number,Ticker,KoreanTicker
1,BABA,알리바바 그룹 홀딩스 ADR
2,TSM,타이완 반도체 매뉴팩처링 ADR
3,V,비자 Class A
4,JPM,제이피모간체이스
5,JNJ,존슨앤드존슨
6,WMT,월마트
7,UNH,유나이티드헬스 그룹
8,BRK.B,버크셔 해서웨이 Class B
9,MA,마스타카드
10,HD,홈디포
11,BAC,뱅크오브아메리카
12,PG,프록터 & 갬블
13,DIS,월트 디즈니
14,BRK.A,버크셔 해서웨이 Class A
15,XOM,엑슨 모빌
16,VZ,버라이존 커뮤니케이션스
17,KO,코카콜라
18,T,AT&T Inc
19,ORCL,오라클
20,PFE,화이자
21,TM,토요타자동차 ADR
22,ABT,애보트 래버러토리
23,NKE,나이키 Class B
24,CVX,셰브론
25,ABBV,애브비
26,CRM,세일즈포스닷컴
27,MRK,머크
28,NVS,노바티스 AG ADR
29,ACN,액센추어 PLC Class A
30,WFC,웰스파고
31,UPS,United Parcel Service Inc Class B
32,LLY,일라이 릴리
33,TMO,써모 피셔 사이언티픽
34,DHR,다나허
35,MCD,맥도날드
36,MDT,메드트로닉
37,SAP,SAP SE ADR
38,MS,모간스탠리
39,HON,허니웰 인터내셔널
40,UL,유니레버 ADR
41,C,씨티그룹
42,LIN,린드
43,UNP,유니온 퍼시픽
44,PM,필립 모리스 인터내셔널
45,LOW,로우스 컴퍼니
46,NEE,넥스트에라 에너지
47,BMY,브리스톨-마이어스 스큅
48,RY,로열 뱅크 오브 캐나다
49,SHOP,쇼피파이 Class A
50,SCHW,찰스 슈왑
51,BA,보잉
52,BLK,블랙록
53,IBM,인터내셔날 비지니스 머신
54,CAT,캐터필러
55,HDB,HDFC 은행 ADR
56,HSBC,HSBC 홀딩스 ADR
57,NVO,노보 노디스크 ADR
58,TD,토론토 도미니언 은행
59,RTX,레이테온 테크놀로지스
60,AXP,아메리칸 엑스프레스
61,TOT,토탈 SA ADR
62,GS,골드만삭스
63,SE,씨 ADR Class A
64,BUD,안호이저부시 인베브 SA ADR
65,DE,디어
66,SONY,소니 그룹 ADR
67,MMM,쓰리엠
68,GE,제너럴 일렉트릭
69,BHP,BHP 그룹 ADR Ltd ADR
70,RIO,리오 틴토 ADR
71,VALE,발레 SA ADR
72,CVS,CVS 헬스
73,AMT,아메리칸 타워
74,EL,에스티 로더
75,LMT,록히드 마틴
76,DEO,디아지오 ADR
77,BX,블랙스톤 그룹
78,TGT,타겟
79,SQ,스퀘어 Class A
80,NOW,서비스나우
81,SYK,스트라이커
82,GSK,글락소 스미스클라인 ADR
83,ANTM,앤섬
84,FIS,피델리티 내셔널 인포메이션 서비스
85,SPGI,S&P 글로벌
86,MO,알트리아그룹
87,USB,U.S. 뱅코프
88,BP,BP PLC ADR
89,BTI,브리티쉬 아메리칸 토바코 ADR
90,UN,유니레버 NV ADR
91,CI,시그나
92,UBER,우버 테크놀로지스
93,TJX,TJX 컴퍼니스
94,GM,제너럴 모터스
95,PLD,프로로지스
96,PNC,PNC 파이낸셜 서비스
97,FDX,페덱스
98,RDS.A,로얄 더치 쉘 ADR Class A
99,TFC,트루이스트 파이낸셜
100,ENB,엔브리지
101,SNAP,스냅
102,ZTS,조에티스 Class A
103,INFY,인포시스 ADR
104,BNS,뱅크 오브 노바스코샤
105,CCI,크라운 캐슬 인터내셔널
106,CNI,커네디언 내셔널 레일웨이
107,CB,처브
108,DUK,듀크 에너지
109,DELL,델테크놀로지 Class C
110,SHW,셔윈-윌리엄즈
111,COP,코노코필립스
112,WBK,웨스트팩 은행 ADR
113,ITW,일리노이 툴 웍스
114,MUFG,미쓰비시 UFJ 파이낸셜 그룹 ADR
115,NSC,노퍽서던
116,COF,캐피털 원 파이낸셜
117,HCA,HCA 헬스케어
118,RDS.B,로얄 더치 쉘 ADR Class B
119,MMC,마쉬 앤 맥레넌 컴퍼니
120,BDX,벡톤 디킨슨
121,SO,서던
122,CL,콜게이트-팜올리브
123,BAM,브룩필드 애셋 매니지먼트
124,CPNG,쿠팡 Class A
125,BBL,BHP 그룹 PLC ADR
126,EQNR,에퀴노르 ASA ADR
127,ABB,Abb Ltd ADR
128,VMW,VM웨어 Class A
129,SAN,방코 산탄데르 SA ADR
130,ECL,에코랩
131,APD,에어 프로덕츠 앤드 케미컬스
132,ICE,인터컨티넨털 익스체인지
133,D,도미니언 에너지
134,BMO,뱅크 오브 몬트리올
135,MCO,무디스
136,FCX,프리포트 맥모란
137,BSX,보스턴 사이언티픽
138,PGR,프로그레시브
139,UBS,UBS 그룹 AG
140,NIO,NIO(니오) ADR Class A
141,HUM,휴마나
142,WM,웨이스트 매니지먼트
143,NOC,노스롭 그루만
144,BEKE,KE Holdings Inc
145,GPN,글로벌 페이먼츠
146,MET,메트라이프
147,ETN,이튼
148,AON,에이온
149,SNOW,스노우플레이크 Class A
150,IBN,ICICI 은행 ADR
151,PUK,푸르덴셜 ADR
152,EW,에드워즈 라이프사이언스
153,STLA,스텔란티스
154,SCCO,서던 코퍼
155,EMR,에머슨 일렉트릭
156,GD,제너럴 다이내믹스
157,NEM,뉴몬트
158,HMC,혼다자동차 ADR
159,TWLO,트윌리오 Class A
160,PHG,코닝클레이커 필립스 NV ADR
161,DG,달러 제너럴
162,TAK,다케다 파마슈티컬 ADR
163,CP,캐나디안 퍼시픽 레일웨이
164,DOW,다우
165,ING,ING 그룹 NV ADR
166,RELX,렐엑스 ADR
167,EPD,Enterprise Products Partners LP Unit
168,SMFG,스미토모 미쓰이 파이낸셜그룹 ADR
169,TRP,TC 에너지
170,KKR,KKR & Co
171,ABEV,암베브 SA ADR
172,PSA,퍼블릭 스토리지
173,CM,커네디언 임페리얼 뱅크 오브 커머스
174,TRI,톰슨 로이터
175,ROP,로퍼 테크놀로지스
176,JCI,존슨 컨트롤스 인터내셔널
177,NGG,내셔널 그리드 ADR
178,F,포드 모터
179,KMB,킴벌리클라크
180,LYG,로이즈 뱅킹 그룹 ADR
181,INFO,IHS 마킷
182,BK,뉴욕멜론은행
183,CVNA,카바나 Class A
184,E,에니 SpA ADR
185,SPOT,스포티파이 테크놀러지
186,EOG,EOG 리소시스
187,TEL,TE 커넥티비티
188,LHX,L3 해리스 테크놀러지
189,IQV,아이큐비아 홀딩스
190,BAX,박스터 인터내셔널
191,BCE,BCE Inc
192,LVS,라스베이거스 샌즈
193,SYY,시스코
194,HPQ,휴렛 패커드
195,TT,트레인 테크놀로지 PLC
196,DD,듀폰
197,AIG,아메리칸 인터내셔널 그룹
198,SLB,슐럼버거
199,TWTR,트위터
200,PPG,PPG 인더스트리스
201,BCS,바클레이즈 ADR
202,DLR,디지털 리얼티 트러스트
203,MFC,매뉴라이프 파이낸셜
204,GOLD,바릭골드
205,PRU,푸르덴셜 파이낸셜
206,SRE,셈프라 에너지
207,STZ,컨스텔레이션 브랜즈 Class A
208,WIT,위프로 ADR
209,PH,파커-하니핀
210,TRV,트래블러스 컴퍼니스
211,A,애질런트 테크놀로지스
212,SPG,사이먼 프로퍼티 그룹
213,APH,암페놀
214,DASH,도어대시 Class A
215,KMI,킨더 모건
216,CMG,치포틀레 멕시칸 그릴
217,ALL,올스테이트
218,CRH,CRH PLC ADR
219,CNQ,캐나다 내추럴 리소시스
220,MSCI,MSCI Inc
221,VEEV,비바 시스템즈 Class A
222,GLW,코닝
223,CMI,커민스
224,BBVA,방코 빌바오 비스카야 아르헨타리아 SA ADR
225,GIS,제너럴 밀즈
226,MPC,매러선 페트롤리엄
227,RACE,페라리 NV
228,BSMX,방코 산탄데르 멕시코 SA ADR Series B
229,CARR,캐리어 글로벌
230,APTV,앱티브
231,AFL,애플랙
232,LYB,라이온델바젤 인더스트리스 Class A
233,CNC,센틴
234,RKT,로켓 컴퍼니스 Class A
235,PINS,핀터레스트 Class A
236,MFG,미즈호 파이낸셜그룹 ADR
237,PLTR,팔란티어 테크놀로지스 Class A
238,PSX,필립스 66
239,ADM,아처 대니얼스 미들랜드
240,DHI,D.R. 호턴
241,IFF,인터내셔널 플레이버스 & 프레그런스
242,YUM,염! 브랜즈
243,ZBH,짐머 바이오멧 홀딩스
244,PATH,유아이패스
245,DFS,디스커버 파이낸셜 서비스
246,LUV,사우스웨스트 에어라인스
247,RBLX,로블록스 Class A
248,PXD,파이어니어 내추럴 리소시스
249,CTVA,코르테바
250,RSG,리퍼블릭 서비스
251,SWK,스탠리 블랙 & 데커
252,VFC,VF Corp
253,MT,아르셀로미탈 SA ADR
254,HSY,허쉬
255,ALC,알콘 AG
256,SU,선코어 에너지
257,NTR,뉴트리엔
258,ORAN,오랑주 SA ADR
259,HLT,힐튼 월드와이드 홀딩스
260,OTIS,오티스 월드와이드
261,TAL,TAL 에듀케이션 그룹 ADR Class A
262,STM,ST 마이크로 일렉트로닉스 NV ADR
263,VLO,발레로 에너지
264,PANW,팔로 알토 네트웍스
265,AZO,오토존
266,TDG,트랜스다임 그룹
267,PBR,페트로브라스 SA ADR Each Rep 2 ORS SHS
268,FRC,퍼스트 리퍼블릭 은행
269,AMX,아메리카 모빌 SAV de CV ADR Series L
270,WCN,웨이스트 커넥션스
271,MSI,모토로라 솔루션스
272,SLF,선 라이프 파이낸셜
273,NWG,Natwest 그룹 PLC ADR
274,QSR,레스토랑 브랜즈 인터내셔널
275,PEG,퍼블릭 서비스 엔터프라이즈
276,CHT,청화 텔레콤 ADR
277,AME,아메텍
278,ROK,로크웰 오토메이션
279,WEC,WEC 에너지 그룹
280,WELL,웰타워
281,AMP,아메리프라이즈 파이낸셜
282,STT,스테이트 스트리트
283,WMB,윌리엄스 컴퍼니즈
284,MTD,메틀러 톨레도 인터내셔널
285,BBY,베스트 바이
286,W,웨이페어 Class A
287,BLL,볼
288,CHWY,쉐위
289,MCK,매케슨
290,WY,와이어하우저
291,FERG,퍼거슨 PLC
292,LU,루팍스 홀딩 ADR
293,AJG,아서 J 갤러거 & Co
294,LEN,레나 Class A
295,MPLX,MPLX LP Unit
296,ES,에버소스 에너지
297,EFX,에퀴팩스
298,MGA,마그나 인터내셔널
299,DAL,델타 에어라인스
300,DB,도이치은행
301,CBRE,CBRE 그룹 Class A
302,TSN,타이슨 푸드 Class A
303,NUE,뉴코
304,KR,크로거
305,RMD,레스메드
306,FNV,프랑코-네바다
307,AWK,아메리칸 워터 웍스
308,TME,텐센트뮤직엔터테인먼트그룹 ADR Class A
309,EQR,에퀴티 레지덴셜
310,TU,텔러스
311,NOK,노키아 Oyj ADR
312,DTE,DTE 에너지
313,LH,래버러토리 코퍼레이션 오브 아메리카 홀딩스
314,AVB,아발론베이 커뮤니티
315,KSU,캔자스 시티 서던
316,PKX,포스코 ADR
317,TEF,텔레포니카 SA ADR
318,ED,콘솔리데이티드 에디슨
319,KEYS,키사이트 테크놀로지스
320,ZTO,ZTO 익스프레스 (케이만) ADR Class A
321,SYF,싱크로니 파이낸셜
322,YUMC,염 차이나 홀딩스
323,ARE,알렉산드리아 리얼에스테이트 이쿼티
324,EPAM,이팸 시스템즈
325,CCEP,코카-콜라 유러피언 파트너스
326,HRL,호멜 푸즈
327,APO,아폴로 글로벌 매니지먼트
328,EDU,뉴 오리엔탈 에듀케이션 & 테크놀로지 그룹 ADR
329,VMC,벌칸 머티리얼스
330,CCL,카니발
331,O,리얼티 인컴
332,CSAN,코샌 SA ADR
333,HES,헤스
334,ANET,아리스타 네트웍스
335,PBR.A,페트로브라스 SA ADR Each Rep 2 Pref SHS NPV
336,OXY,옥시덴털 페트롤리움
337,ET,에너지 트랜스퍼
338,EC,에코페트롤 SA ADR
339,URI,유나이티드 렌탈스
340,ITUB,이타우 우니방쿠 홀딩 SA ADR
341,U,유니티소프트웨어
342,CAJ,캐논 ADR
343,FTV,포티브
344,CS,크레디트 스위스 ADR
345,WST,웨스트 파마슈티컬 서비시즈
346,IP,인터내셔널 페이퍼
347,ABC,아메리소스버겐
348,WORK,슬랙 테크놀러지
349,BKR,베이커 휴즈
350,HIG,하트포드 파이낸셜 서비스 그룹
351,FLT,플리트코어 테크놀로지스
352,GWW,W W 그레인저
353,OKE,원오케이
354,BF.B,브라운-포맨 Class B
355,RNG,링센트럴 Class A
356,BBD,방쿠 브라데스쿠 ADR Each Rep 1 PRF NPV
357,TDOC,텔라닥 헬스
358,MLM,마틴 마리에타 머터리얼스
359,UMC,유나이티드 마이크로일렉트로닉 ADR
360,K,켈로그
361,CLX,크로락스
362,HUBS,허브스팟
363,FMS,프레제니우스 메디칼 케어 ADR
364,MKC,매코믹 & 컴퍼니
365,EIX,에디슨 인터내셔널
366,TLK,텔레코무니카시 인도네시아 ADR Series B
367,CNHI,CNH 인더스트리얼
368,KEY,키코프
369,PPL,PPL Corp
370,BIP,Brookfield Infrastructure Partners LP Unit
371,DOV,도버
372,RF,리전스 파이낸셜
373,AEE,애머런
374,PCG,퍼시픽 가스 & 일렉트릭
375,CHD,처치 & 드와이트
376,BURL,벌링턴 스토어스
377,ETR,엔터지
378,NET,클라우드플레어 Class A
379,XYL,자일럼
380,HPE,휴렛패커드 엔터프라이즈
381,KMX,카맥스
382,FTS,포르티스
383,XPEV,샤오펑 ADR
384,BBDO,방쿠 브라데스쿠 ADR Each Rep 1 ORD SH
385,CFG,시티즌스 파이낸셜 그룹
386,MTB,M&T 은행
387,IR,잉가솔랜드
388,RCL,로얄 캐리비안 크루즈
389,FE,퍼스트에너지
390,VTR,벤타스
391,KB,KB금융지주 ADR
392,TRU,트랜스유니온
393,GNRC,제네락 홀딩스
394,GIB,CGI 그룹 Class A
395,COO,쿠퍼
396,IT,가트너
397,VIPS,브이아이피숍 홀딩스 ADR
398,INVH,인비테이션 홈스
399,IX,오릭스 ADR
400,HAL,할리버튼
401,PAYC,페이콤 소프트웨어
402,RCI,로저스 커뮤니케이션스
403,ALLY,앨라이 파이낸셜
404,SKM,SK텔레콤 ADR
405,WPM,휘턴 프레셔스 메탈스
406,EXR,엑스트라 스페이스 스토리지
407,AMCR,앰코
408,SNN,스미스 & 네퓨 ADR
409,BR,브로드리지 파이낸셜 솔루션스
410,GPC,제뉴인 파츠
411,MGM,MGM 리조트 인터내셔널
412,WAT,워터스
413,TFX,텔레플렉스
414,SHG,신한금융지주 ADR
415,CE,셀라니즈 코퍼레이션
416,RJF,레이먼드 제임스 파이낸셜
417,NVR,NVR Inc
418,CMS,CMS 에너지
419,DRI,다든 레스토랑
420,ESS,에섹스 프로퍼티 트러스트
421,LB,L 브랜즈
422,SUI,선 커뮤니티즈
423,CAG,콘아그라 브랜즈
424,AVY,에이버리 데니슨
425,ROL,롤린스
426,OMC,옴니콤 그룹
427,CTLT,캐털란트
428,DGX,퀘스트 다이아그노스틱스
429,AVTR,어밴터
430,J,제이콥스 엔지니어링
431,STE,스테리스
432,PEAK,헬스피크 프로퍼티즈
433,MAA,미드아메리카 아파트 커뮤니티
434,ALB,앨버말
435,PBA,펨비나 파이프라인
436,SUZ,수자노 SA ADR
437,IEX,아이덱스
438,BEN,프랭클린 리소시스
439,DRE,듀크 리얼티
440,DVN,데번 에너지
441,FMX,포멘토 에코노미코 멕시카노 SAB de CV ADR
442,AES,AES Corp
443,CRL,찰스 리버 래버러토리스 인터내셔널
